transcript_id,A07_w501fBr_a,A08_w501fBr_b,A09_w501fBr_c,B07_FA03fBr_a,B08_FA03fBr_b,B09_FA03fBr_c,D07_w501mBr_a,D08_w501mBr_b,D09_w501mBr_c,E08_FA03mBr_b,E09_FA03mBr_c
FBtr0223328,22279,20669,19747,22894,24598,18785,35833,25377,32833,22032,23214
FBtr0223325,671,568,0,536,696,530,484,0,619,123,132
FBtr0223326,13350,14069,12431,11804,13620,12238,18752,14359,18455,12804,12801
FBtr0223320,11003,11988,10041,11722,12373,10954,14812,11558,14477,11768,11552
FBtr0223322,2838,3129,2606,3069,3019,2456,4383,2907,4245,3026,2942
FBtr0225838,0,12,7,0,0,0,36,15,37,0,15
FBtr0217903,117,77,105,94,88,81,188,138,135,97,67
FBtr0217904,527,551,537,525,444,295,1067,725,935,568,364
FBtr0219504,9018,10405,8819,9324,9274,11281,11024,9102,12541,10047,9373
FBtr0219505,283,224,225,388,326,322,374,295,348,354,386
FBtr0219507,0,0,0,0,0,0,0,11,0,0,0
FBtr0219500,59,75,69,41,58,55,118,74,95,57,91
FBtr0219501,16811,18983,17506,12656,13551,13541,24207,17568,25836,15039,13560
FBtr0219502,8591,9098,8211,8801,8898,7756,11779,9110,12089,8747,8617
FBtr0219503,16025,14751,13345,14774,13812,11957,22509,16431,19875,14210,15004
FBtr0219508,216,264,239,236,305,298,389,264,363,297,294
FBtr0352999,146,72,0,0,0,0,154,0,0,0,0
FBtr0352998,32,58,18,67,62,91,75,59,64,36,93
FBtr0354106,245,92,225,14,16,35,517,141,92,24,4
FBtr0354107,14336,15135,12546,11906,11873,12794,14086,12641,15341,11993,9784
FBtr0354100,283,526,354,359,356,524,476,481,386,337,410
FBtr0354101,1833,2103,2386,1733,1765,1900,2550,2208,2795,1963,1672
FBtr0354102,0,5,2,29,4,55,81,0,0,0,0
FBtr0354103,0,0,0,0,0,0,0,0,0,0,0
FBtr0352991,3,0,0,0,0,0,0,0,0,0,0
FBtr0352990,78433,89628,76566,75316,79917,93178,99847,84774,83702,75480,64279
FBtr0352993,12235,17900,14957,12378,15124,16166,17065,14984,21761,16746,17417
FBtr0352992,146,158,71,122,157,76,199,117,171,121,112
FBtr0352995,844,773,863,330,1244,1034,1341,1247,954,749,898
FBtr0352994,15225,16612,15620,16060,17287,15873,19553,16322,21381,15753,15883
FBtr0352997,166,0,171,0,0,0,0,0,0,0,0
FBtr0352996,8542,9363,7778,7827,8662,9589,10847,9268,10784,7676,7233
FBtr0210305,924,979,858,969,1240,962,1191,1022,1209,1031,986
FBtr0210307,41,23,25,64,64,66,49,53,24,33,54
FBtr0210301,4263,4310,3630,4282,4974,4193,5659,4330,5780,4333,4262
FBtr0210300,16564,17067,15832,14412,16207,17279,18382,16027,19792,15990,14810
FBtr0210302,5071,5963,5023,5033,5032,5194,8170,6172,7748,5430,5380
FBtr0210309,175,4,0,100,49,36,15,37,0,170,10
FBtr0210308,1406,474,373,21057,19508,20549,1830,1376,1015,20259,19103
FBtr0357459,72,174,139,48,92,64,125,102,123,69,98
FBtr0357458,8633,9501,8550,8726,8505,9515,11951,9223,12073,8487,8489
FBtr0357453,0,163,0,0,0,0,225,0,0,0,157
FBtr0357452,11729,15629,8714,13489,14443,17647,14979,13028,11426,12740,9912
FBtr0357451,26125,27818,24148,25545,27252,23930,37307,28733,36976,26647,26331
FBtr0357450,36,0,0,0,0,0,4,83,2,68,0
FBtr0357457,238,299,211,273,327,417,385,314,453,353,351
FBtr0357456,0,0,0,0,0,0,0,0,0,0,0
FBtr0357455,555,521,594,778,691,514,651,580,860,289,313
FBtr0357454,683,642,526,862,717,749,783,697,857,789,781
FBtr0225836,10,4,0,8,8,0,4,12,3,8,8
FBtr0225835,1933,1729,1594,1661,1552,1343,2238,1715,2272,1402,1379
FBtr0225834,2564,2670,2235,2664,2585,2508,3332,2508,3451,2686,2264
FBtr0225833,12809,14875,12456,10582,12072,11330,14532,12924,16474,10805,10541
FBtr0225832,155,109,99,181,119,116,254,111,232,86,115
FBtr0225830,49,84,38,27,74,81,71,35,42,42,42
FBgn0270417,85,61,54,59,91,76,71,42,78,66,94
FBtr0218833,7607,7803,7615,7122,7944,6857,12192,8106,11033,9073,8492
FBtr0359158,9,47,57,9,0,18,23,0,34,26,21
FBtr0216622,35,50,94,64,59,79,98,56,94,65,35
FBtr0216628,25,0,0,0,0,18,0,20,0,0,19
FBtr0353224,1713,1834,1538,1330,1053,1022,2527,1478,2345,1285,995
FBtr0353225,898,662,641,289,336,244,1040,776,904,245,225
FBtr0353226,582,803,338,385,366,334,516,636,571,601,454
FBtr0353227,876,1123,912,991,1318,1078,1502,1216,1440,1098,1125
FBtr0353220,30261,31402,38471,42585,41862,49100,50441,39953,56272,53970,53987
FBtr0353221,595,592,504,1101,0,651,348,695,1158,862,2114
FBtr0353222,68769,71852,67872,104678,110385,91872,87888,74743,78159,77230,74928
FBtr0353223,219,0,0,152,8,7,442,6,17,110,366
FBtr0349783,0,0,0,0,0,0,3,0,5,0,0
FBtr0353228,9308,10307,9318,8250,9895,8697,12331,9861,12995,7945,8634
FBtr0353229,894,1174,1229,1391,1199,1221,1508,1024,1399,1593,1290
FBtr0211166,16,0,0,4,4,0,0,7,0,8,8
FBtr0211164,2367,1747,1088,562,514,595,1939,1082,1202,636,473
FBtr0211165,0,0,5,0,0,0,14,0,0,0,0
FBtr0211162,840,457,325,259,195,233,400,149,292,226,164
FBtr0211163,176,159,124,92,137,99,173,121,164,89,74
FBtr0211160,1139,594,385,173,321,274,1604,598,585,312,192
FBtr0211161,816,690,694,436,582,438,1429,929,1309,457,651
FBtr0348998,8071,6997,7324,7379,7461,6645,8867,8352,9875,7282,6971
FBtr0348999,854,1,908,37,160,0,129,128,221,0,0
FBtr0348996,463,367,512,178,168,294,547,616,412,135,176
FBtr0348997,184,261,154,478,433,319,204,363,652,441,248
FBtr0348994,129,181,155,217,196,296,219,154,224,172,189
FBtr0348995,7,13364,1097,1904,2366,12,2552,1564,14699,728,7933
FBtr0348992,10165,4890,3851,3556,4565,7957,5818,3609,6239,6906,4526
FBtr0348993,575,793,553,464,760,589,564,970,620,496,603
FBtr0348990,9,0,0,12,6,8,0,0,8,8,4
FBtr0348991,0,0,0,4,0,0,1,0,0,0,0
FBtr0217570,3788,3457,2739,3874,4101,3147,4922,3254,4691,3076,3663
FBtr0217576,1837,2630,2353,2195,1874,1870,2749,2381,3214,1888,1897
FBtr0352179,0,0,0,0,0,0,0,0,0,0,0
FBtr0352178,2611,3464,3465,1618,2917,3001,2725,968,1866,2416,2546
FBtr0352173,1260,2060,1192,1250,913,915,1116,974,1178,547,467
FBtr0352172,886,1050,739,1276,1547,1573,1143,824,1022,1745,1746
FBtr0352171,105,124,100,1,12,9,170,107,111,8,7
FBtr0352170,840,903,844,796,793,802,1218,976,1238,749,852
FBtr0352177,122,34,1,37,0,0,69,31,1,0,0
FBtr0352176,224,732,260,360,851,258,207,210,235,231,220
FBtr0352175,82,117,76,279,260,241,275,292,333,597,545
FBtr0352174,1054,884,626,630,941,694,825,1047,343,577,619
FBtr0361058,568,5242,2257,6664,7334,7695,448,3916,6752,4661,481
FBgn0195879,6987,9333,8170,9211,7381,15016,14320,8597,9840,9055,7580
FBtr0223668,0,0,0,0,0,0,0,0,0,0,0
FBgn0269650,0,0,0,0,0,0,0,0,0,0,0
FBtr0349717,107,0,88,198,0,28,48,0,0,62,35
FBtr0349716,1,2,1,3,2,2,3,2,3,3,2
FBtr0349715,108,88,83,32,20,43,105,112,114,18,32
FBtr0349714,7535,117,6028,6136,5303,7619,10636,8677,9253,7129,8786
FBtr0349713,3,6,3,4,2,4,1,7,4,7,0
FBtr0349712,52289,53331,50912,66587,68086,64233,66217,53683,61168,54388,59710
FBtr0349711,275,392,457,0,163,111,642,241,779,317,242
FBtr0349710,165,119,101,123,134,92,210,126,164,95,99
FBtr0349719,6759,1704,5928,3350,7598,2088,8778,5216,4236,4227,3471
FBtr0349718,8776,3900,4189,12384,14696,8230,9045,3315,6754,4044,8920
FBtr0330564,1,1,0,0,1,1,0,1,0,1,1
FBtr0330565,1,1,0,0,1,1,0,1,0,1,1
FBtr0330566,1,1,0,1,2,0,3,1,1,1,1
FBtr0330567,1,1,0,0,1,0,1,0,1,1,0
FBtr0330560,1,1,1,0,1,1,0,1,2,1,1
FBtr0330561,1,4,2,1,1,2,5,1,2,3,2
FBtr0330562,0,1,1,1,1,1,1,0,1,1,1
FBtr0330563,3,3,0,0,6,4,0,3,1,3,4
FBtr0330568,0,1,0,0,1,0,2,0,1,0,0
FBtr0330569,0,1,0,0,0,0,1,0,0,0,1
FBtr0347742,566,603,402,518,367,454,1069,895,1048,878,821
FBtr0347743,7,11,0,8,10,3,2,14,4,0,6
FBtr0347740,0,0,0,2,0,0,0,0,0,3,0
FBtr0347741,0,0,0,0,0,0,0,0,0,0,0
FBtr0347746,109,92,127,2,200,96,190,126,71,68,31
FBtr0347747,0,0,0,0,0,0,0,0,0,0,0
FBtr0347744,17,12,7,26,33,27,18,23,0,34,21
FBtr0347745,2548,4092,2155,2817,3223,4625,2771,3355,3408,3638,2400
FBtr0347748,5,4,0,8,8,7,4,0,0,0,0
FBtr0347749,1627,1643,1213,376,412,653,1418,1016,1757,598,733
FBtr0348149,580,184,255,235,258,404,192,234,944,265,140
FBtr0348148,423,8313,459,482,463,7863,717,610,638,639,4387
FBtr0348145,0,2,0,0,0,0,0,0,0,0,0
FBtr0348144,215,182,178,171,0,0,205,212,0,283,0
FBtr0348147,4,4,0,0,0,0,3,0,0,3,0
FBtr0348146,997,1527,1217,1648,1638,1973,843,983,1377,1038,1254
FBtr0348141,2185,6383,2580,2043,0,2633,3060,0,3697,6544,0
FBtr0348140,491,495,428,427,416,590,626,451,479,424,425
FBtr0348143,296,327,252,1195,1037,981,303,280,352,1174,450
FBtr0348142,457,659,129,302,690,535,865,471,657,567,335
FBtr0355026,36852,39319,32939,28912,33954,29809,37953,35597,35562,31023,22145
FBtr0365504,11897,10671,11811,9290,10307,9315,14653,9183,14473,10696,8465
FBtr0365505,1632,2468,2749,6912,7777,11415,3327,2997,4374,7887,7137
FBtr0365506,0,0,6,0,1,0,0,0,0,0,0
FBtr0365507,9,5662,3,51,14248,15,12,15,6,500,8
FBtr0365500,496,0,0,381,259,281,0,607,0,298,440
FBtr0365501,53,37,68,8,18,37,16,42,133,13,22
FBtr0365502,162,181,164,92,146,138,131,94,182,191,138
FBtr0365503,1205,1087,878,1231,1025,1022,1715,1228,1581,1231,1116
FBtr0365508,2173,2426,1886,1800,2382,2261,3118,2345,2646,2250,2226
FBtr0365509,177,163,155,38,66,44,167,163,148,36,13
FBtr0222436,1480,1385,1058,1082,1269,974,1464,1510,1740,1145,1121
FBtr0222437,22,26,16,0,0,6,15,32,9,0,0
FBtr0222435,485,573,435,731,788,601,737,592,725,763,739
FBtr0222431,10757,11115,10456,9921,10168,9698,14605,10585,14219,9542,9613
FBtr0361398,0,0,0,0,0,0,0,0,0,0,0
FBtr0361500,6403,4317,3382,3882,4240,5764,5172,4635,4114,4938,3386
FBtr0361501,0,0,0,0,0,0,0,0,0,0,0
FBtr0361502,15,205,14,141,140,185,119,191,99,155,242
FBtr0361503,44,71,42,37,50,32,80,77,38,14,13
FBtr0361504,23307,23928,20842,23146,24515,23233,30371,23459,30243,23814,22245
FBtr0361505,28,11,16,0,10,10,36,38,25,9,15
FBtr0361506,6294,9133,7620,8891,9506,10944,7363,6990,8939,9525,8208
FBtr0361507,0,0,0,0,0,0,0,0,0,0,0
FBtr0361508,602,480,50,264,312,324,64,48,581,369,300
FBtr0361509,0,0,0,0,5,0,0,0,0,0,0
FBgn0268241,5974,17,7316,81,640,706,26,5,27,660,612
FBtr0219742,572,592,395,748,1624,1128,1007,376,637,723,453
FBtr0219743,13,9,13,11,14,12,39,14,7,22,17
FBtr0219740,397,522,227,394,227,410,514,520,569,485,1512
FBtr0219741,4,0,4,0,0,1,0,0,0,0,0
FBtr0219747,9,6,0,0,8,8,0,0,3,0,0
FBtr0219744,1083,1168,1018,1010,1075,948,1535,1234,1596,1044,1224
FBtr0219745,0,0,0,0,0,0,0,0,0,0,0
FBtr0351194,528,629,564,621,590,1,574,686,656,580,529
FBtr0351195,0,0,2,0,0,0,0,0,0,0,0
FBtr0351196,1771,1737,1402,957,966,722,2175,1383,2135,875,883
FBtr0351197,586,572,656,536,802,712,754,503,736,651,435
FBtr0351190,0,0,0,0,0,0,2,0,0,0,0
FBtr0351191,236,0,542,487,572,957,0,536,92,0,523
FBtr0351192,0,0,884,0,715,683,623,925,0,0,566
FBtr0351193,4,21,13,4,0,4,18,35,34,19,4
FBtr0351198,0,0,0,0,1,0,0,0,0,0,0
FBtr0351199,198,115,227,137,231,585,296,313,439,208,191
FBtr0214248,4,3,0,0,0,0,2,0,0,0,2
FBtr0350829,214,0,0,0,493,0,174,0,0,231,253
FBtr0350828,93,149,85,72,0,0,194,0,143,69,216
FBtr0350827,0,0,0,0,0,0,0,0,0,0,0
FBtr0350826,1042,1307,864,688,1045,1251,984,987,1298,879,987
FBtr0214246,0,0,0,0,0,0,0,0,0,0,0
FBtr0350824,1419,1334,1259,1480,1571,1266,2154,1824,2500,1652,1617
FBtr0350823,0,0,0,0,0,3,0,0,0,0,0
FBtr0350822,0,0,0,0,0,0,0,0,0,0,0
FBtr0214242,1351,1395,1270,1714,2063,1759,1822,1530,1625,2076,1890
FBtr0214243,50418,45033,40211,58329,66162,46750,67073,50643,58930,52450,57058
FBtr0351448,901,1242,835,773,1033,1527,1319,1089,1000,1304,743
FBtr0351449,0,6,4,14,21,26,0,5,23,36,76
FBtr0351446,9,0,0,0,5,4,0,0,0,4,0
FBtr0351447,0,0,0,0,0,0,0,0,0,0,0
FBtr0351444,426,332,452,594,595,743,478,468,473,670,692
FBtr0351445,8,0,0,0,0,9,0,0,0,0,0
FBtr0351442,35505,42899,43904,39079,42956,37360,49665,38798,54502,32179,35034
FBtr0351443,154278,147430,139196,156154,184022,136316,251057,182330,236429,154907,163264
FBtr0351440,206,136,105,96,90,228,129,183,179,145,115
FBtr0351441,126,156,142,128,110,149,120,127,191,106,137
FBtr0356876,623,471,633,362,0,353,545,551,333,252,386
FBtr0356877,1392,1259,1065,1161,1028,1180,1463,1370,1909,1186,1386
FBtr0356874,66522,72873,67127,71271,79628,68426,106854,79255,103830,73748,76313
FBtr0356875,0,0,0,0,0,0,0,0,0,0,0
FBtr0356872,42194,50256,43510,38593,40253,41629,57717,51533,50276,37703,32164
FBtr0356873,148,120,140,120,134,159,164,131,147,141,126
FBtr0356870,32,86,52,0,0,0,91,56,77,0,0
FBtr0356871,739,759,604,304,253,214,962,748,950,294,251
FBtr0356878,2,0,0,0,0,0,0,4,0,0,0
FBtr0356879,379,312,403,180,374,304,495,286,351,3620,3685
FBtr0362369,0,0,0,0,8,0,0,0,0,5,0
FBtr0362368,3348,3984,3202,1622,1959,2398,4370,3542,4719,2280,2242
FBtr0362361,485,831,585,654,517,287,656,383,739,293,439
FBtr0362360,26102,30553,27501,26958,28327,37541,33811,28276,36657,28607,29323
FBtr0362363,2257,2207,5385,969,8643,1435,2081,2892,2847,1621,2027
FBtr0362362,0,0,290,0,0,43,0,0,0,32,0
FBtr0362365,0,0,0,0,0,0,0,0,0,0,0
FBtr0362364,68,62,0,68,52,61,59,0,78,38,37
FBtr0362367,0,0,5,0,0,0,13,0,6,8,5
FBtr0362366,0,0,0,0,0,0,0,0,0,0,0
FBtr0221316,767,634,503,622,797,550,857,541,774,627,584
FBtr0221317,430,313,155,169,234,311,538,324,347,297,191
FBtr0355109,374,221,1121,0,0,0,1837,0,0,0,0
FBtr0221315,4278,6350,5221,4321,3668,6730,5738,2282,3885,5559,3315
FBtr0221313,1107,1145,935,1178,1250,1147,1544,1245,1515,1161,1045
FBtr0221310,5889,6376,5660,5348,6424,6018,7503,6266,8536,5910,5771
FBtr0360293,5649,5793,5449,4353,4802,4489,8433,6695,8138,4274,4779
FBtr0360292,0,0,0,0,0,0,0,0,0,0,90
FBtr0360291,4,8,16,4,0,4,0,3,6,0,11
FBtr0360290,30,8,0,59,16,22,4,0,0,116,0
FBtr0360297,1540,178,390,813,1011,697,1949,719,191,1999,554
FBtr0360296,0,0,0,0,244,297,0,330,0,0,0
FBtr0360295,0,0,0,0,0,0,0,0,0,0,0
FBtr0360294,2402,1246,1670,2099,2328,2108,2749,2000,3274,2225,1993
FBtr0360299,1120,1215,1026,1316,1255,973,1757,1237,1762,1055,1000
FBtr0360298,0,127,0,0,196,106,109,96,0,0,180
FBtr0358441,22,23,20,41,17,8,24,10,15,36,27
FBtr0358440,0,0,0,0,0,0,0,0,0,0,0
FBtr0358443,522,531,522,3149,1120,496,2355,1176,1784,2376,1614
FBtr0358442,930,516,422,939,1010,1166,1012,651,1063,819,1074
FBtr0358445,0,0,0,0,0,0,0,0,0,0,0
FBtr0358444,44,85,63,2,1,1,121,125,140,4,12
FBtr0358447,0,0,0,0,0,0,0,0,0,0,0
FBtr0358446,34702,36361,35258,34793,39059,44803,41749,38343,41049,37323,30687
FBtr0358449,6,0,0,0,0,0,0,0,0,0,0
FBtr0358448,358,718,561,632,666,324,795,421,960,834,492
FBtr0350319,10902,12269,10827,10371,11658,12457,12950,11691,14839,11753,10362
FBtr0350318,0,1,1,0,0,9,0,6,263,0,0
FBtr0350315,307,258,258,180,237,229,300,197,228,225,179
FBtr0350314,19132,25187,21193,19185,20505,28046,27530,22242,27911,23714,22729
FBtr0350317,2226,2454,2134,2769,2335,2183,2561,2334,3067,2522,2044
FBtr0350316,7,0,0,0,0,0,0,0,20,0,0
FBtr0350311,3,4,0,5,2,6,4,5,4,15,21
FBtr0350310,4982,5374,5169,3998,4488,4485,6219,5678,7259,4309,4019
FBtr0350313,0,0,0,0,0,0,0,0,0,0,0
FBtr0350312,2335,1382,1843,202,790,1732,554,1090,480,2103,1729
FBtr0211369,698,0,0,0,0,0,0,0,1167,0,910
FBtr0211365,31289,28071,24993,30822,33256,24996,43626,31609,38859,26573,28473
FBtr0211366,1143,1061,862,831,979,920,1233,971,1441,909,838
FBtr0211367,30,50,102,64,95,92,76,120,157,29,32
FBtr0211360,3,0,1,0,0,0,0,0,0,0,0
FBtr0211361,0,0,0,0,0,0,6,0,0,0,0
FBtr0211362,4077,4326,4004,4774,5046,4110,5899,4635,5951,4630,4306
FBtr0363018,5036,5767,4971,5590,5653,4873,8157,6218,7910,6207,5901
FBtr0363019,0,4,0,26,18,0,4,1,9,2,4
FBtr0363010,0,0,0,0,0,0,0,0,0,0,0
FBtr0363011,0,11,7,22,0,7,8,8,4,12,39
FBtr0363012,49,0,0,0,49,0,0,0,0,0,0
FBtr0363013,119,53,123,161,170,237,172,152,128,36,167
FBtr0363014,4002,6338,4529,3564,4597,7870,8989,5352,7228,5283,6004
FBtr0363015,194,0,0,182,329,208,318,0,226,472,331
FBtr0363016,0,0,0,0,0,1,0,0,1,0,0
FBtr0363017,0,0,0,0,0,0,0,0,0,0,0
FBtr0353758,6,4,18,0,0,8,0,0,12,5,6
FBtr0353759,2850,3416,2198,3180,3493,2420,4768,2896,3570,3436,3281
FBtr0353754,0,0,254,0,0,325,276,228,265,0,0
FBtr0353755,531,905,633,560,587,517,948,726,838,599,356
FBtr0353756,247,228,198,246,513,283,254,272,298,243,215
FBtr0353757,0,0,0,0,0,0,96,1,0,0,0
FBtr0353750,62,30,26,26,32,30,23,31,37,10,30
FBtr0353751,4176,3785,3839,2400,2391,2763,5259,4586,3406,2799,3091
FBtr0353752,78,120,56,79,250,161,269,53,67,104,92
FBtr0353753,20,21,12,8,24,6,25,13,18,8,32
FBtr0225769,67,47,85,84,82,44,162,113,90,69,51
FBtr0357048,1246,913,707,436,651,524,1441,819,1648,839,476
FBtr0357049,3155,2504,2648,2389,2385,3428,2295,217,3739,3252,3325
FBtr0357044,4973,2422,2268,3814,2745,5225,3434,1842,4086,2542,2525
FBtr0357045,6986,6706,6027,7323,7026,13747,8581,6533,18238,6821,6862
FBtr0357046,31632,31411,25912,30813,31355,36332,31451,29053,28827,29568,25669
FBtr0357047,20,1,23,0,13663,2350,22,1893,0,4640,2999
FBtr0357040,364,377,365,0,256,149,312,215,461,0,129
FBtr0225766,305,275,250,215,338,229,304,221,253,257,211
FBtr0357042,2,0,0,3,0,0,0,3,4,0,0
FBtr0357043,78,67,503,638,492,643,744,398,725,655,1850
FBtr0221866,0,0,0,0,0,0,0,0,0,0,0
FBtr0221860,0,0,0,0,0,0,0,0,0,0,0
FBtr0221861,0,0,0,0,0,0,0,0,0,8,0
FBtr0221863,8,0,0,0,0,0,0,0,0,0,0
FBtr0221869,0,0,0,0,0,0,0,0,0,0,0
FBtr0220198,1645,1446,1494,1317,1312,1150,1868,1638,1969,1391,1164
FBtr0220195,6863,8161,6668,7128,7117,9201,9123,7332,8479,7359,6756
FBtr0220194,561,482,499,521,472,512,805,595,751,598,564
FBtr0220190,1524,1376,1361,1290,1251,960,2349,1815,2259,1317,1339
FBtr0223428,17,0,4,0,0,0,44,7,0,12,0
FBtr0223426,1273,1271,1196,1627,1593,1372,1592,1120,1545,1306,1282
FBtr0223427,0,0,0,0,9,0,3,7,0,0,0
FBtr0223424,1390,1256,1233,1916,1969,1374,1932,1537,1752,1520,1534
FBtr0223425,265,195,281,2593,2534,2100,3049,2232,141,2088,162
FBtr0223422,2545,2486,2243,1761,1849,1652,3646,2406,3343,1782,1812
FBtr0223423,543,347,557,317,322,335,1317,674,914,288,213
FBtr0223421,1847,2034,1953,2134,2153,1943,2723,2112,2812,2240,2290
FBtr0211988,20,0,0,13,0,8,0,2,0,5,0
FBtr0211981,7363,8004,6716,7434,7650,7411,9586,7635,10205,7354,7249
FBtr0211982,2361,2516,2327,2473,2691,2227,3763,2971,3712,2701,2644
FBtr0211984,11854,13630,12715,9669,9924,10185,17425,13854,18281,9819,10372
FBtr0211986,3248,3031,2681,2626,2251,2191,3914,2659,3324,2304,2371
FBtr0216355,301,191,126,180,126,128,706,172,324,308,463
FBtr0216356,11086,11269,11035,11423,13517,10279,16997,13199,16513,11664,12270
FBtr0216357,0,0,0,0,0,0,0,0,0,0,0
FBtr0217000,14531,15944,15542,15074,16398,13508,21934,16584,20666,13629,13905
FBtr0217005,0,0,0,3,0,5,0,0,0,0,0
FBtr0352403,19425,20128,19605,21424,22324,21039,22727,18582,21675,18125,17417
FBtr0352402,949,74,47,806,2673,862,2284,2306,1191,2737,2955
FBtr0352401,2244,2644,2112,2821,2387,2441,3814,2987,2651,3154,3156
FBtr0352400,0,17,0,0,0,0,10,19,16,0,4
FBtr0352407,0,0,0,0,0,0,15,0,0,0,0
FBtr0352406,1103,886,964,540,892,513,1240,774,1136,723,563
FBtr0352405,105,206,188,209,171,0,21,155,2,191,232
FBtr0352404,3601,4160,2868,1903,1995,1574,4500,3080,4230,2044,1765
FBtr0352409,0,0,0,0,0,0,0,0,0,0,0
FBtr0352408,1906,1857,1822,1855,1755,1477,2705,2126,2801,1885,2055
FBtr0356313,272,267,268,250,345,276,339,345,272,351,278
FBtr0356312,11,8,5,9,4,0,15,6,24,50,12
FBtr0356311,12756,15119,2432,112,124,162,17563,13389,19023,310,171
FBtr0220738,2493,2417,2299,2823,3002,2414,3764,2513,3560,2472,2346
FBtr0356317,0,0,0,0,0,0,0,0,0,0,0
FBtr0356316,73,43,81,43,127,37,102,97,75,34,69
FBtr0356315,3,14,0,0,10,17,0,0,4,0,7
FBtr0356314,166,188,91,57,129,67,240,230,131,126,110
FBtr0220733,475,470,354,432,486,279,245,440,526,541,433
FBtr0220732,3865,3735,3204,3282,5111,2865,5982,3700,3879,2954,3799
FBtr0356319,0,0,0,0,0,0,0,0,0,0,0
FBtr0356318,1008,1917,1638,1374,1521,1481,2227,2074,1915,1058,1113
FBtr0220736,1762,1887,1722,1972,1991,1632,2539,2173,2576,1951,1973
FBtr0220734,972,1249,1089,1090,1296,1459,1567,1232,1620,1369,1256
FBtr0355756,0,0,0,0,0,0,0,0,0,0,0
FBtr0212184,16776,19490,17974,16973,17960,16462,26777,19924,27699,18730,20015
FBtr0212187,99,47,45,325,330,250,240,399,83,288,295
FBtr0355755,132,254,180,218,271,213,207,162,259,281,151
FBtr0355752,0,0,0,0,0,0,0,0,0,0,0
FBtr0212180,5604,5550,5295,4053,4067,3434,8651,6020,8073,3823,4043
FBtr0355750,16,5,19,0,0,3,0,3,8,0,0
FBtr0355751,93,55,59,17,41,9,102,0,21,46,29
FBtr0355758,539,1186,773,1011,804,1337,1437,1236,1356,933,1035
FBtr0355759,150,214,0,0,0,4,232,253,135,0,0
FBtr0354805,6192,6725,6424,6430,5850,7077,7760,5261,7363,6991,5351
FBtr0351836,1,15,10,1,15,12,14,1,34,21,24
FBtr0354807,2475,4816,4181,641,1977,1086,6357,4062,4188,480,26
FBtr0351834,0,0,0,0,7,0,0,0,0,0,0
FBtr0351833,99,12,86,72,60,96,14,116,184,109,89
FBtr0354800,654,731,727,1,873,822,1,505,594,636,2
FBtr0354803,2251,2409,1804,2134,2435,1956,2889,1991,2859,2015,1992
FBtr0351830,11849,12774,11519,9848,10985,10054,15190,13524,15684,10562,10038
FBtr0213278,5,4,7,20,0,10,0,4,0,17,7
FBtr0354808,2198,2046,2079,1973,1889,1746,2764,2248,2923,1673,1701
FBtr0351839,1331,953,0,0,0,0,1072,1317,0,0,1036
FBtr0351838,44,82,87,86,49,74,130,110,147,99,95
FBtr0222779,81,0,16,27,36,24,26,23,12,12,12
FBtr0222775,2583,2498,2319,3736,4049,2935,3517,2682,3787,3596,3433
FBtr0222774,550,595,671,734,663,592,864,665,924,674,600
FBtr0222776,6276,6827,5506,5148,5327,4757,7567,5749,7444,5075,4948
FBtr0222771,382,393,315,290,205,207,406,373,415,155,195
FBtr0222772,1021,1156,951,1127,1151,971,1428,1101,1381,1185,1127
FBtr0216970,1904,1931,1926,2030,2032,1663,2786,2374,3006,2026,1819
FBtr0216971,8,13,8,0,18,11,28,0,0,0,10
FBtr0216975,0,0,0,6,0,7,0,0,0,0,0
FBtr0214729,1581,1575,1311,1549,1448,1061,2334,1580,2141,1328,1385
FBtr0214728,2018,1967,1770,1588,1622,1440,2803,2070,2880,1565,1562
FBtr0220418,934,1051,1055,807,878,795,1585,1293,1382,962,868
FBtr0214722,998,1081,1000,885,1095,959,1505,1030,1443,996,896
FBtr0214721,613,664,725,595,698,536,738,663,746,635,564
FBtr0214720,24,5,0,13,9,21,39,9,6,0,33
FBtr0214727,735,763,584,1279,1265,999,1132,654,895,1089,1139
FBtr0214726,3561,5848,4094,4139,5390,4185,5207,3583,3663,3936,3350
FBtr0214725,5241,5907,4934,880,1962,2077,6657,5698,6995,2171,1276
FBtr0214724,12357,13696,11725,10300,10693,8897,17281,13060,16524,9552,9556
FBtr0220410,3412,3361,2738,3133,3775,2778,3993,2610,3534,2717,2859
FBtr0356439,282,0,339,414,365,441,0,386,420,399,432
FBtr0357868,682,631,714,510,169,438,858,956,457,25,446
FBtr0357869,0,0,0,0,0,0,0,0,0,0,24
FBtr0357866,10,0,0,0,0,0,0,0,0,0,0
FBtr0357867,75,76,77,365,431,640,142,112,112,453,585
FBtr0357864,541,590,456,495,558,1869,854,590,791,526,471
FBtr0357865,7,12,11,0,0,0,12,0,11,0,0
FBtr0357862,75,53,10,41,63,78,72,44,0,31,0
FBtr0357863,33,46,25,34,49,38,78,26,44,77,86
FBtr0357860,0,0,0,0,4,0,0,4,0,0,0
FBtr0357861,0,0,0,0,0,0,0,0,0,0,0
FBgn0185964,1,0,1,1,1,1,1,1,0,1,1
FBtr0221459,0,0,0,0,0,0,0,0,0,0,0
FBtr0221455,1792,2109,1839,1749,1788,2079,2694,1707,2253,1671,2107
